index,var,beta_clock1,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
151,cg12509499,-0.062262881,17,2191885,SMG6,SMG6,23293,conserved gene and region in mouse and human,SMG6_Intron,"Intron (ENST00000263073.11/23293, intron 10 of 18)",11,75034011,Smg6
152,cg12651099,0.248216038,1,110211650,KCNC4,KCNC4,3749,conserved gene and region in mouse and human,KCNC4_Exon,Promoter (<=1kb),3,107458739,Kcnc4
153,cg12791299,0.034068233,5,89377985,MEF2C-AS1,MEF2C,101929423,mapped to different gene in human and mouse,MEF2C-AS1_Intron,"Intron (ENST00000514092.5/101929423, intron 5 of 6)",13,82971946,Gm48156
154,cg12815291,0.067443521,8,143439468,ZC3H3,ZC3H3,23144,conserved gene and region in mouse and human,ZC3H3_Intron,"Intron (ENST00000262577.6/23144, intron 11 of 11)",15,75756305,Zc3h3
155,cg12830057,0.109563898,3,69879222,MITF,MITF,4286,"mapped in human, not mapped in mouse",MITF_Exon,"Exon (ENST00000352241.8/4286, exon 2 of 10)",6,97941141,Mitf
156,cg12841266,0.123459106,3,9552409,LHFPL4,LHFPL4,375323,conserved gene and region in mouse and human,LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113193953,Lhfpl4
157,cg12850734,0.024257219,9,113965190,ZNF618,ZNF618,114991,"mapped in human, not mapped in mouse",ZNF618_Intron,"Intron (ENST00000374126.9/114991, intron 1 of 14)",,,
158,cg12965599,-0.015643746,3,147408137,LOC440982,ZIC1,440982,"mapped in human, not mapped in mouse",LOC440982_Intron,"Intron (ENST00000472523.1/440982, intron 1 of 1)",9,91367289,Zic4
159,cg12969847,0.009161422,10,103139465,NT5C2,NT5C2,22978,conserved gene but different region in human and mouse,NT5C2_Exon,"Exon (ENST00000404739.7/22978, exon 2 of 17)",19,46924321,Nt5c2
160,cg13058338,0.6386603,12,54173598,SMUG1,SMUG1,23583,mapped to different gene in human and mouse,SMUG1_Intron,"Intron (ENST00000635234.1/23583, intron 2 of 4)",15,103146996,Smug1
161,cg13084522,-0.082187142,16,71808851,AP1G1,AP1G1,164,conserved gene and region in mouse and human,AP1G1_fiveUTR,Promoter (<=1kb),8,109778873,Ap1g1
162,cg13188467,-0.001406524,7,96998781,DLX6-AS1,DLX6-AS1,285987,mapped to different gene in human and mouse,DLX6-AS1_Intron,"Intron (ENST00000430027.3/285987, intron 1 of 2)",6,6856418,Dlx6
163,cg13242392,-0.842267016,5,36876728,NIPBL-DT,NIPBL,646719,mapped to different gene in human and mouse,NIPBL-DT_Promoter,Promoter (<=1kb),15,8444671,Nipbl
164,cg13285426,0.033466868,10,92091835,CPEB3,CPEB3,22849,conserved gene and region in mouse and human,CPEB3_Exon,"Exon (ENST00000412050.8/22849, exon 8 of 10)",19,37054265,Cpeb3
165,cg13400013,0.018753985,2,118850010,EN1,EN1,2019,conserved gene and region in mouse and human,EN1_Promoter,Promoter (2-3kb),1,120600234,En1
166,cg13401299,0.013469508,1,50968722,CDKN2C,CDKN2C,1031,conserved gene and region in mouse and human,CDKN2C_fiveUTR,5' UTR,4,109666730,Cdkn2c
167,cg13608832,-0.162165048,18,25231172,ZNF521,ZNF521,25925,conserved gene and region in mouse and human,ZNF521_Intron,"Intron (ENST00000361524.8/25925, intron 3 of 7)",18,13850635,Zfp521
168,cg13609316,-0.000422564,14,31129356,AP4S1,HECTD1,11154,mapped to different gene in human and mouse,AP4S1_threeUTR,3' UTR,12,51769273,Hectd1
169,cg13935553,-0.063401019,12,26120667,BHLHE41,BHLHE41,79365,"mapped in human, not mapped in mouse",BHLHE41_threeUTR,3' UTR,,,
170,cg14241460,-0.196790456,18,34225049,NOL4,NOL4,8715,conserved gene and region in mouse and human,NOL4_Promoter,Promoter (1-2kb),18,23041790,Nol4
171,cg14361875,-0.165076507,2,67846376,LINC01812,C1D,101927701,mapped to different gene in human and mouse,LINC01812_Intergenic_upstream,Distal Intergenic,,,
172,cg14381350,0.151545604,12,130826483,STX2,STX2,2054,"mapped in human, not mapped in mouse",STX2_Intron,"Intron (ENST00000392373.7/2054, intron 2 of 10)",,,
173,cg14384416,0.080662786,2,193393,SH3YL1,SH3YL1,26751,"mapped in human, not mapped in mouse",SH3YL1_Intergenic_downstream,Distal Intergenic,,,
174,cg14443903,-0.289068334,19,30718448,ZNF536,ZNF536,9745,conserved gene and region in mouse and human,ZNF536_Intergenic_downstream,Distal Intergenic,7,37312574,Zfp536
175,cg14458704,0.002518394,19,41937216,LOC100505585,RABAC1,100505585,mapped to different gene in human and mouse,LOC100505585_Intergenic_downstream,Distal Intergenic,7,24952609,Erfl
176,cg14701342,0.018228068,18,77833139,LINC01029,GALR1,101927715,"mapped in human, not mapped in mouse",LINC01029_Intergenic_downstream,Distal Intergenic,18,81852564,Gm50297
177,cg14762358,-0.026945903,20,37905847,VSTM2L,VSTM2L,128434,conserved gene and region in mouse and human,VSTM2L_Intron,"Intron (ENST00000373459.4/128434, intron 1 of 1)",2,157917249,Vstm2l
178,cg14811158,0.035665341,2,163325312,FIGN,FIGN,55137,conserved gene and region in mouse and human,FIGN_Intergenic_downstream,Distal Intergenic,2,63670294,AL772407.1
179,cg14903956,-0.097409971,12,13562916,GRIN2B,GRIN2B,2904,conserved gene and region in mouse and human,GRIN2B_Exon,"Exon (ENST00000609686.3/2904, exon 13 of 13)",6,135732231,Grin2b
180,cg14919591,-0.287442301,19,33796112,KCTD15,KCTD15,79047,conserved gene and region in mouse and human,KCTD15_Promoter,Promoter (<=1kb),7,34655153,Kctd15
181,cg15089111,0.017766619,14,33800907,NPAS3,NPAS3,64067,"mapped in human, not mapped in mouse",NPAS3_Exon,"Exon (ENST00000551634.5/64067, exon 11 of 11)",,,
182,cg15166827,-0.132208303,12,2504459,CACNA1C,CACNA1C,775,conserved gene but different region in human and mouse,CACNA1C_threeUTR,3' UTR,6,118742296,Cacna1c
183,cg15340018,0.201225539,16,71756157,AP1G1,AP1G1,164,"mapped in human, not mapped in mouse",AP1G1_threeUTR,3' UTR,8,109843354,Ap1g1
184,cg15437942,0.118504219,9,124018172,LHX2,LHX2,9355,conserved gene and region in mouse and human,LHX2_Intron,"Intron (ENST00000373615.9/9355, intron 3 of 4)",2,38357359,Lhx2
185,cg15496507,-0.026067798,11,85660576,CREBZF,CREBZF,58487,"mapped in human, not mapped in mouse",CREBZF_threeUTR,3' UTR,7,90447217,Crebzf
186,cg15580396,-0.016772084,18,25231018,ZNF521,ZNF521,25925,conserved gene and region in mouse and human,ZNF521_Intron,"Intron (ENST00000361524.8/25925, intron 3 of 7)",18,13850481,Zfp521
187,cg15597031,0.023984324,10,97982587,CRTAC1,CRTAC1,55118,conserved gene and region in mouse and human,CRTAC1_Intron,"Intron (ENST00000370597.8/55118, intron 2 of 14)",19,42388734,Crtac1
188,cg15682828,0.2554586,13,99982907,ZIC2,ZIC2,7546,conserved gene and region in mouse and human,ZIC2_Exon,"Exon (ENST00000376335.8/7546, exon 1 of 3)",14,122476515,Zic2
189,cg15719056,0.105238486,11,72369854,CLPB,CLPB,81570,"mapped in human, not mapped in mouse",CLPB_Intron,"Intron (ENST00000294053.9/81570, intron 5 of 16)",7,101714180,Clpb
190,cg15726426,0.003019246,1,110674217,KCNA3,KCNA3,3738,"mapped in human, not mapped in mouse",KCNA3_Exon,Promoter (<=1kb),3,107036873,Kcna3
191,cg15746205,-0.150618685,22,29290369,EWSR1,EWSR1,2130,conserved gene but different region in human and mouse,EWSR1_Exon,"Exon (ENST00000483415.5/2130, exon 8 of 8)",11,5080731,Ewsr1
192,cg15809488,-0.664041584,3,25428622,RARB,RARB,5915,"mapped in human, not mapped in mouse",RARB_fiveUTR,5' UTR,,,
193,cg15903282,0.020030463,3,134794848,EPHB1,EPHB1,2047,"mapped in human, not mapped in mouse",EPHB1_Intron,"Intron (ENST00000460895.5/2047, intron 2 of 3)",,,
194,cg15991909,-0.04962426,1,32539339,ZBTB8A,ZBTB8A,653121,conserved gene but different region in human and mouse,ZBTB8A_Intron,"Intron (ENST00000480336.1/653121, intron 6 of 9)",4,129377984,Zbtb8a
195,cg16366505,0.032339211,3,52558410,SMIM4,PBRM1,440957,conserved gene and region in mouse and human,SMIM4_Exon,"Exon (ENST00000296302.11/55193, exon 26 of 30)",14,31110417,Pbrm1
196,cg16423684,0.008945547,10,75693577,LRMDA,LRMDA,83938,"mapped in human, not mapped in mouse",LRMDA_Intron,"Intron (ENST00000611255.5/83938, intron 2 of 6)",14,22241008,Lrmda
197,cg16475558,-0.001455788,16,56355033,GNAO1,GNAO1,2775,conserved gene and region in mouse and human,GNAO1_threeUTR,3' UTR,8,93967035,Gnao1
198,cg16486681,-0.044001663,1,155005813,ZBTB7B,ZBTB7B,51043,"mapped in human, not mapped in mouse",ZBTB7B_Intron,"Intron (ENST00000417934.6/51043, intron 1 of 4)",3,89390174,Zbtb7b
199,cg16570119,0.073642964,18,75288831,TSHZ1,TSHZ1,10194,"mapped in human, not mapped in mouse",TSHZ1_threeUTR,3' UTR,,,
200,cg16599143,0.272940073,1,171089531,FMO3,FMO3,2328,"mapped in human, not mapped in mouse",FMO3_Promoter,Promoter (1-2kb),,,
201,cg16671190,0.044830868,10,76944864,KCNMA1-AS1,KCNMA1,101929328,mapped to different gene in human and mouse,KCNMA1-AS1_threeUTR,3' UTR,14,23363892,Kcnma1
202,cg16756969,-0.069680929,12,113649565,LINC01234,LHX5,100506465,"mapped in human, not mapped in mouse",LINC01234_Intron,"Intron (ENST00000661760.1/100506465, intron 3 of 3)",5,120294608,Rbm19
203,cg16764258,0.025342504,9,123422862,DENND1A,DENND1A,57706,conserved gene and region in mouse and human,DENND1A_Intron,"Intron (ENST00000473039.5/57706, intron 14 of 17)",2,37832437,Dennd1a
204,cg16867657,0.144298802,6,11044644,ELOVL2-AS1,ELOVL2-AS1,100506409,"mapped in human, not mapped in mouse",ELOVL2-AS1_Exon,"Exon (ENST00000607275.6/100506409, exon 1 of 3)",,,
205,cg16960327,0.276846163,1,90007481,ZNF326,ZNF326,284695,conserved gene and region in mouse and human,ZNF326_Exon,"Exon (ENST00000340281.9/284695, exon 5 of 12)",5,105888570,Zfp326
206,cg17114460,0.065309902,17,28884283,FLOT2,FLOT2,2319,conserved gene and region in mouse and human,FLOT2_Exon,"Exon (ENST00000394906.6/2319, exon 5 of 13)",11,78054816,Flot2
207,cg17116410,0.066407374,12,54037896,HOXC4,HOXC4,3221,conserved gene but different region in human and mouse,HOXC4_Exon,"Exon (ENST00000507650.1/3221, exon 1 of 3)",15,103018923,Hoxc4
208,cg17143801,0.306777113,10,129648217,MGMT,MGMT,4255,conserved gene and region in mouse and human,MGMT_Intron,"Intron (ENST00000306010.8/4255, intron 2 of 4)",7,137039922,Mgmt
209,cg17267107,0.127785136,1,10669966,CASZ1,CASZ1,54897,mapped to different gene in human and mouse,CASZ1_Intron,"Intron (ENST00000377022.8/54897, intron 4 of 20)",4,148924608,Casz1
210,cg17357006,0.019420368,10,112538434,VTI1A,VTI1A,143187,conserved gene but different region in human and mouse,VTI1A_Exon,"Exon (ENST00000496445.5/143187, exon 5 of 5)",19,55391972,Vti1a
211,cg17365410,-0.589556598,9,36819253,MIR4475,MIR4475,100616289,mapped to different gene in human and mouse,MIR4475_Intron,"Intron (ENST00000658385.1/ENST00000658385.1, intron 2 of 2)",4,44508708,Gm12455
212,cg17437489,-0.18444058,9,125763666,PBX3,PBX3,5090,conserved gene and region in mouse and human,PBX3_Intron,"Intron (ENST00000342287.9/5090, intron 2 of 7)",2,34355947,Pbx3
213,cg17499466,0.018911331,10,75379424,ZNF503,ZNF503-AS2,84858,conserved gene but different region in human and mouse,ZNF503_Intron,"Intron (ENST00000418818.6/84858, intron 1 of 3)",14,21967730,Zfp503
214,cg17516812,-0.028641676,9,16773158,BNC2,BNC2,54796,conserved gene and region in mouse and human,BNC2_Intron,"Intron (ENST00000380672.9/54796, intron 1 of 6)",4,84586639,Bnc2
215,cg17633063,0.01802741,20,42897077,PTPRT,PTPRT,11122,conserved gene and region in mouse and human,PTPRT_Intron,"Intron (ENST00000356100.6/11122, intron 1 of 30)",2,162377705,Ptprt
216,cg17718834,0.057719543,1,10623271,PEX14,PEX14,5195,conserved gene but different region in human and mouse,PEX14_threeUTR,3' UTR,4,148967378,Pex14
217,cg17850367,0.000359682,10,26861569,ABI1,ABI1,10006,"mapped in human, not mapped in mouse",ABI1_Promoter,Promoter (<=1kb),,,
218,cg17876669,-0.034764336,11,47466510,CELF1,CELF1,10658,"mapped in human, not mapped in mouse",CELF1_threeUTR,3' UTR,,,
219,cg17905888,-0.107558271,2,155727368,LINC01876,NR4A2,101929378,"mapped in human, not mapped in mouse",LINC01876_Intergenic_downstream,Distal Intergenic,2,56454784,Gm13518
220,cg18094982,0.049600413,12,20695438,SLCO1C1,SLCO1C1,53919,"mapped in human, not mapped in mouse",SLCO1C1_fiveUTR,Promoter (<=1kb),6,141524375,Slco1c1
221,cg18168101,-0.145768619,8,103141399,BAALC-AS2,BAALC,157556,"mapped in human, not mapped in mouse",BAALC-AS2_Promoter,Promoter (<=1kb),,,
222,cg18169540,0.033117452,3,184170708,DVL3,DVL3,1857,"mapped in human, not mapped in mouse",DVL3_Exon,"Exon (ENST00000313143.9/1857, exon 15 of 15)",16,20531469,Dvl3
223,cg18194685,0.100103362,22,27557962,MN1,MN1,4330,"mapped in human, not mapped in mouse",MN1_Intergenic_downstream,Distal Intergenic,,,
224,cg18223258,-0.067118113,5,51399170,ISL1,LOC642366,3670,conserved gene and region in mouse and human,ISL1_Intergenic_downstream,Distal Intergenic,13,116294093,Isl1
225,cg18304538,0.07334619,5,77852294,TBCA,TBCA,6902,conserved gene and region in mouse and human,TBCA_Intron,"Intron (ENST00000522370.1/6902, intron 1 of 3)",13,94702400,Gm48316
226,cg18411550,-0.306030595,6,130018588,L3MBTL3,L3MBTL3,84456,conserved gene but different region in human and mouse,L3MBTL3_fiveUTR,Promoter (<=1kb),10,26375988,L3mbtl3
227,cg18433728,-0.025967256,2,174846961,CHN1,CHN1,1123,conserved gene and region in mouse and human,CHN1_Exon,Promoter (<=1kb),2,73659761,Chn1
228,cg18473521.2,0.04241454,12,54054481,HOXC4,HOXC4,3221,conserved gene but different region in human and mouse,HOXC4_Intron,"Intron (ENST00000303406.4/3221, intron 3 of 3)",15,103035270,Hoxc4
229,cg18502834,-0.211022983,8,22692929,EGR3,EGR3,1960,conserved gene but different region in human and mouse,EGR3_Exon,Promoter (<=1kb),14,70077459,Egr3
230,cg18526971,-0.118880121,5,93585447,NR2F1-AS1,NR2F1,441094,mapped to different gene in human and mouse,NR2F1-AS1_Exon,Promoter (<=1kb),13,78198158,Nr2f1
231,cg18577444,-0.117337858,19,30360436,ZNF536,ZNF536,9745,"mapped in human, not mapped in mouse",ZNF536_Intron,"Intron (ENST00000585628.5/9745, intron 3 of 5)",7,37640569,Zfp536
232,cg18672716,0.039698776,2,193256,SH3YL1,SH3YL1,26751,"mapped in human, not mapped in mouse",SH3YL1_Intergenic_downstream,Distal Intergenic,,,
233,cg18738190,-0.154921975,10,71980533,CHST3,ANAPC16,9469,"mapped in human, not mapped in mouse",CHST3_Intron,"Intron (ENST00000373115.5/9469, intron 1 of 2)",,,
234,cg18814344,-0.152329357,5,139660961,CXXC5,CXXC5,51523,"mapped in human, not mapped in mouse",CXXC5_Intron,"Intron (ENST00000502295.1/51523, intron 1 of 1)",,,
235,cg18821963,0.25659039,15,72319683,CELF6,CELF6,60677,conserved gene but different region in human and mouse,CELF6_threeUTR,Promoter (<=1kb),9,59578568,Celf6
236,cg18918349,-0.003875303,6,108165956,NR2E1,NR2E1,7101,conserved gene and region in mouse and human,NR2E1_Promoter,Promoter (<=1kb),10,42583724,Nr2e1
237,cg19090691,-0.121300661,10,99537359,NKX2-3,NKX2-3,159296,conserved gene and region in mouse and human,NKX2-3_Intergenic_downstream,Distal Intergenic,19,43616760,Nkx2-3
238,cg19098934,0.012643955,6,90079771,BACH2,BACH2,60468,conserved gene and region in mouse and human,BACH2_Intron,"Intron (ENST00000257749.9/60468, intron 5 of 8)",4,32425868,Bach2
239,cg19195912,-0.09196262,2,163944507,FIGN,FIGN,55137,conserved gene but different region in human and mouse,FIGN_Intron,"Intron (ENST00000429636.1/ENST00000429636.1, intron 3 of 4)",2,64326769,Gm13577
240,cg19233240,0.037414441,17,61289642,BCAS3,BCAS3,54828,conserved gene and region in mouse and human,BCAS3_Intron,"Intron (ENST00000589222.5/54828, intron 22 of 25)",11,85737509,Bcas3
241,cg19358608,0.015860249,20,1943919,PDYN-AS1,SIRPA,727993,"mapped in human, not mapped in mouse",PDYN-AS1_Promoter,Promoter (3-4kb),,,
242,cg19450032,-0.003476503,X,136208580,FHL1,FHL1,2273,conserved gene and region in mouse and human,FHL1_Exon,"Exon (ENST00000629039.2/2273, exon 6 of 7)",X,56790589,Fhl1
243,cg19513247,-0.213046499,17,44219685,UBTF,UBTF,7343,conserved gene and region in mouse and human,UBTF_fiveUTR,5' UTR,11,102317812,Ubtf
244,cg19591642,-0.351198176,16,24815260,TNRC6A,TNRC6A,27327,conserved gene but different region in human and mouse,TNRC6A_threeUTR,3' UTR,7,123186676,Tnrc6a
245,cg19622303,0.037041466,14,100278219,MIR6764,YY1,102466730,"mapped in human, not mapped in mouse",MIR6764_threeUTR,3' UTR,,,
246,cg19635507,-0.003600397,15,43421061,TP53BP1,TP53BP1,7158,conserved gene and region in mouse and human,TP53BP1_threeUTR,3' UTR,2,121208391,Trp53bp1
247,cg19643847,-0.116943413,8,104869327,ZFPM2,LRP12,23414,mapped to different gene in human and mouse,ZFPM2_Intron,"Intron (ENST00000521923.5/ENST00000521923.5, intron 4 of 4)",15,40256425,9330182O14Rik
248,cg19821183,-0.01669086,15,96416128,MIR1469,NR2F2,100302258,mapped to different gene in human and mouse,MIR1469_Intergenic_downstream,Distal Intergenic,7,70281679,Nr2f2
249,cg19981759,0.089226419,3,147409413,LOC440982,ZIC1,440982,mapped to different gene in human and mouse,LOC440982_fiveUTR,5' UTR,9,91365750,Zic1
250,cg20113482,0.00012533,5,54215550,ARL15,ARL15,54622,"mapped in human, not mapped in mouse",ARL15_Intron,"Intron (ENST00000504924.6/54622, intron 1 of 4)",,,
251,cg20185523,0.002308501,2,138564953,SPOPL,SPOPL,339745,"mapped in human, not mapped in mouse",SPOPL_threeUTR,3' UTR,2,23515044,Spopl
252,cg20331456,-0.11120608,9,20606794,MLLT3,MLLT3,4300,"mapped in human, not mapped in mouse",MLLT3_Intron,"Intron (ENST00000380338.9/4300, intron 2 of 10)",4,88017650,Mllt3
253,cg20345626,-0.051125014,18,25176283,ZNF521,ZNF521,25925,conserved gene and region in mouse and human,ZNF521_Intron,"Intron (ENST00000361524.8/25925, intron 5 of 7)",18,13798360,Zfp521
254,cg20421508,0.010438543,5,77645339,OTP,OTP,23440,conserved gene and region in mouse and human,OTP_Promoter,Promoter (5-6kb),13,94869127,Otp
255,cg20452275,-0.153614651,3,184320228,EIF4G1,EIF4G1,1981,"mapped in human, not mapped in mouse",EIF4G1_Intron,"Intron (ENST00000346169.6/1981, intron 7 of 32)",16,20678187,Eif4g1
256,cg20615601,-0.209853407,5,140115517,PURA,PURA,5813,conserved gene and region in mouse and human,PURA_threeUTR,3' UTR,18,36288498,Pura
257,cg20738648,0.057955892,17,5481351,DERL2,DERL2,51009,conserved gene and region in mouse and human,DERL2_threeUTR,3' UTR,11,71014605,Derl2
258,cg20804050,-0.189793904,2,118847865,EN1,EN1,2019,conserved gene and region in mouse and human,EN1_Promoter,Promoter (<=1kb),1,120602314,En1
259,cg21006686,0.025069307,12,117362435,NOS1,NOS1,4842,"mapped in human, not mapped in mouse",NOS1_Intron,"Intron (ENST00000549189.1/4842, intron 1 of 1)",,,
260,cg21345677,0.068774528,12,113664715,LINC01234,LHX5,100506465,"mapped in human, not mapped in mouse",LINC01234_Intron,"Intron (ENST00000661760.1/100506465, intron 3 of 3)",,,
261,cg21621248,-0.0298708,2,80304717,CTNNA2,CTNNA2,1496,"mapped in human, not mapped in mouse",CTNNA2_fiveUTR,5' UTR,6,77242686,Ctnna2
262,cg21633990,0.033711465,9,134830033,COL5A1,COL5A1,1289,conserved gene and region in mouse and human,COL5A1_Exon,"Exon (ENST00000371817.7/1289, exon 64 of 66)",2,28029024,Col5a1
263,cg21650436,-0.000271686,12,48768661,ADCY6,ADCY6,112,"mapped in human, not mapped in mouse",ADCY6_Exon,"Exon (ENST00000547260.5/112, exon 7 of 7)",15,98592420,Adcy6
264,cg21694863,-0.04195258,9,120788196,FBXW2,FBXW2,26190,conserved gene and region in mouse and human,FBXW2_Exon,"Exon (ENST00000608872.6/26190, exon 3 of 8)",2,34822985,Fbxw2
265,cg21907062,0.012016874,2,174081061,OLA1,OLA1,29789,conserved gene but different region in human and mouse,OLA1_Exon,"Exon (ENST00000462000.1/29789, exon 4 of 4)",2,73099201,Ola1
266,cg21956144,0.003211951,5,139709400,CXXC5,CXXC5,51523,conserved gene but different region in human and mouse,CXXC5_Intron,"Intron (ENST00000515296.1/ENST00000515296.1, intron 2 of 5)",,,
267,cg22031066,0.071068167,17,17758108,RAI1,RAI1,10743,conserved gene and region in mouse and human,RAI1_Intron,"Intron (ENST00000353383.6/10743, intron 2 of 5)",11,60161287,Rai1
268,cg22264409,0.22425113,3,71779257,PROK2,PROK2,60675,"mapped in human, not mapped in mouse",PROK2_Intron,"Intron (ENST00000295619.4/60675, intron 2 of 3)",,,
269,cg22267613,-0.081206768,2,144521227,ZEB2-AS1,ZEB2,100303491,mapped to different gene in human and mouse,ZEB2-AS1_Exon,Promoter (<=1kb),2,45114096,Zeb2
270,cg22338839,-0.150449084,13,107866521,FAM155A,FAM155A,728215,conserved gene and region in mouse and human,FAM155A_Exon,Promoter (<=1kb),8,9770943,Fam155a
271,cg22354333,-0.255651658,1,50977563,CDKN2C,CDKN2C,1031,"mapped in human, not mapped in mouse",CDKN2C_Intergenic_downstream,Distal Intergenic,4,109657858,Cdkn2c
272,cg22380921,-0.008258906,3,84959635,CADM2,CADM2,253559,conserved gene and region in mouse and human,CADM2_Exon,Promoter (<=1kb),16,67620203,Cadm2
273,cg22398409,-0.033401784,1,88150788,PKN2-AS1,PKN2,101927891,"mapped in human, not mapped in mouse",PKN2-AS1_Intron,"Intron (ENST00000642677.1/ENST00000642677.1, intron 1 of 6)",3,143411462,Gm2574
274,cg22416332,-0.000398777,8,21990865,XPO7,XPO7,23039,conserved gene and region in mouse and human,XPO7_Exon,"Exon (ENST00000252512.14/23039, exon 18 of 28)",14,70682386,Xpo7
275,cg22457719,0.048841565,6,41798796,USP49,USP49,25862,mapped to different gene in human and mouse,USP49_threeUTR,3' UTR,17,47679796,Gm20517
276,cg22560410,-0.192257773,5,140043040,NRG2,NRG2,9542,conserved gene and region in mouse and human,NRG2_Exon,Promoter (<=1kb),18,36197131,Nrg2
277,cg22621796,-0.097385387,1,44565975,RNF220,RNF220,55182,conserved gene and region in mouse and human,RNF220_Intron,"Intron (ENST00000355387.6/55182, intron 2 of 14)",4,117353309,Rnf220
278,cg22661206,0.261166228,7,50382076,IKZF1,IKZF1,10320,conserved gene and region in mouse and human,IKZF1_Intron,"Intron (ENST00000645066.1/10320, intron 3 of 5)",11,11753546,Ikzf1
279,cg22929401,-0.387711707,22,38460126,KCNJ4,KCNJ4,3761,"mapped in human, not mapped in mouse",KCNJ4_Promoter,Promoter (4-5kb),15,79510168,Kcnj4
280,cg23076498,0.148003979,8,76681260,ZFHX4-AS1,ZFHX4-AS1,100192378,mapped to different gene in human and mouse,ZFHX4-AS1_fiveUTR,5' UTR,3,5218567,Zfhx4
281,cg23087015,0.254654559,15,72319625,CELF6,CELF6,60677,"mapped in human, not mapped in mouse",CELF6_threeUTR,Promoter (<=1kb),9,59578626,Celf6
282,cg23128382,-0.046604843,11,59615345,OSBP,OSBP,5007,"mapped in human, not mapped in mouse",OSBP_Exon,Promoter (<=1kb),19,11966253,Osbp
283,cg23292987,0.00303996,X,69617284,EDA,EDA,1896,conserved gene but different region in human and mouse,EDA_threeUTR,3' UTR,X,99976780,Eda
284,cg23314464,0.015436719,19,35723890,KMT2B,KMT2B,9757,"mapped in human, not mapped in mouse",KMT2B_Exon,"Exon (ENST00000420124.2/9757, exon 8 of 37)",7,30583300,Kmt2b
285,cg23415880,0.061838193,13,27792287,GSX1,GSX1,219409,conserved gene and region in mouse and human,GSX1_Promoter,Promoter (<=1kb),5,147188486,Gsx1
286,cg23501051,-0.073722153,11,19715366,NAV2,NAV2,89797,"mapped in human, not mapped in mouse",NAV2_Intron,"Intron (ENST00000360655.8/89797, intron 1 of 37)",,,
287,cg23510032,-0.038272497,9,2159889,SMARCA2,SMARCA2,6595,conserved gene but different region in human and mouse,SMARCA2_Exon,"Exon (ENST00000635133.1/6595, exon 2 of 6)",19,26749927,Smarca2
288,cg23597501,0.056082868,X,40189345,BCOR,BCOR,54880,"mapped in human, not mapped in mouse",BCOR_Intergenic_upstream,Distal Intergenic,X,12175457,Gm14521
289,cg23778391,-0.197359572,1,10698402,CASZ1,CASZ1,54897,mapped to different gene in human and mouse,CASZ1_Intron,"Intron (ENST00000377022.8/54897, intron 3 of 20)",4,148897401,Casz1
290,cg23931487,0.000441897,12,53677480,ATP5MC2,ATP5MC2,517,mapped to different gene in human and mouse,ATP5MC2_Promoter,Promoter (<=1kb),15,102672452,Atp5g2
291,cg23985931,0.19795673,13,78594976,OBI1-AS1,OBI1-AS1,100874222,mapped to different gene in human and mouse,OBI1-AS1_Intron,"Intron (ENST00000607205.5/100874222, intron 2 of 3)",14,104459378,Pou4f1
292,cg24055081,-0.093870511,6,12013251,HIVEP1,HIVEP1,3096,conserved gene but different region in human and mouse,HIVEP1_Intron,"Intron (ENST00000491710.5/3096, intron 1 of 3)",13,42052911,Hivep1
293,cg24058132,-0.122562391,14,87993522,GALC,GALC,2581,"mapped in human, not mapped in mouse",GALC_fiveUTR,Promoter (<=1kb),,,
294,cg24119607,-0.058343374,5,139668154,CXXC5,CXXC5,51523,mapped to different gene in human and mouse,CXXC5_Intron,"Intron (ENST00000502295.1/51523, intron 1 of 1)",18,35848035,Cxxc5
295,cg24191230,0.041990684,11,63839503,MARK2,MARK2,2011,"mapped in human, not mapped in mouse",MARK2_fiveUTR,Promoter (<=1kb),19,7341224,Mark2
296,cg24315421,-0.044871807,1,207866908,MIR29B2CHG,CD34,100128537,"mapped in human, not mapped in mouse",MIR29B2CHG_Intron,"Intron (ENST00000608023.5/100128537, intron 2 of 4)",,,
297,cg24352905,0.853267701,5,77645452,OTP,OTP,23440,conserved gene and region in mouse and human,OTP_Promoter,Promoter (5-6kb),13,94869014,Otp
298,cg24357465,0.090101787,17,2367303,SGSM2,SGSM2,9905,conserved gene and region in mouse and human,SGSM2_Exon,"Exon (ENST00000268989.8/9905, exon 12 of 24)",11,74863661,Sgsm2
299,cg24504442,0.067603335,15,37099474,MEIS2,MEIS2,4212,conserved gene and region in mouse and human,MEIS2_fiveUTR,5' UTR,2,116064821,Meis2
300,cg24551749,0.000464049,12,53677516,ATP5MC2,ATP5MC2,517,mapped to different gene in human and mouse,ATP5MC2_Promoter,Promoter (<=1kb),15,102672488,Atp5g2
301,cg24615318,-0.018147331,2,163735042,FIGN,FIGN,55137,conserved gene and region in mouse and human,FIGN_fiveUTR,Promoter (<=1kb),2,64097034,Fign
302,cg24655241,0.064225663,12,55749684,GDF11,GDF11,10220,conserved gene and region in mouse and human,GDF11_Exon,"Exon (ENST00000257868.10/10220, exon 3 of 3)",10,128885303,Gdf11
